x,y
94.19193136,126.2351183
98.42386851,520.9042271
94.7028486,549.7373114
83.44338941,631.8021883
70.83915747,552.0075192
63.64293633,520.9813467
617.0916277,579.62115
620.9090471,555.2224418
586.6101123,577.4714417
91.07822818,583.0047718
588.4417024,661.7245867
595.5945438,590.7552899
987.2656288,607.6251988
908.8639321,601.1471538
599.074565,550.8362655
35.47500843,625.2566636
627.7148503,668.2893912
587.6705066,626.2495783
331.9226876,861.849906
330.7128742,906.1984865
66.00472357,629.62356
601.5809515,666.1300429
155.9068781,565.1226683
157.213091,525.2084639
216.7735094,564.9877091
216.1951125,538.3814527
310.3436641,569.2148262
312.035475,547.038126
390.9673688,577.9052393
388.0223647,542.4350509
458.3072251,575.5386321
457.5360293,540.0636237
512.7488312,579.8525088
518.3544609,537.7114764
549.7035716,579.7705692
551.2025835,548.7251169
193.4303755,791.2035475
218.9376777,764.5394515
80.25256664,685.0243409
116.8217092,667.2048971
255.9984576,569.3353256
259.623078,536.0678652
351.6942209,571.3404348
357.5408493,540.2853425
425.748301,577.8281197
424.9771051,542.3531113
486.5667325,575.4759724
485.7955367,540.000964
123.1069552,556.3262158
131.1273919,525.2663036
188.5622018,567.2675568
192.0904227,529.5657203
146.8164072,746.9610064
170.0535017,715.8673543
255.4538005,844.2811009
276.5170868,813.1922688
431.1466718,826.1531788
432.4480648,886.0172555
421.7766424,795.1318263
497.5659131,881.4382802
503.8511592,770.559599
487.9115053,737.3355184
532.7902829,701.7592905
559.4543789,728.3077071
284.3881043,875.2590736
305.3549911,839.7358654
374.9168554,839.5816263
388.4417024,861.7245867
122.4225189,724.8421459
141.3601967,695.9753217
169.1328867,773.519063
192.3217815,740.2082229
224.3456885,813.3079481
247.6791825,786.6486721
62.23550393,656.2394563
99.09384489,651.7231407
106.8202632,707.1383815
132.3757652,682.6914735
98.81910638,339.0851689
598.891406,342.410951
595.0691666,466.5879404
101.0362944,441.0758182
91.53130573,203.8463392
601.0218345,240.4106618
589.3092977,701.6339712
560.7123922,686.1763146
525.2518436,754.991083
838.5694317,767.600135
413.4139876,910.4497036
415.0575987,886.0558153
511.1389598,905.7984287
510.6569625,883.6265484
461.2377693,910.3436641
460.6593724,883.7374078
467.4748156,797.2477949
445.1101364,768.4725502
360.7605919,888.3935027
353.4197715,850.7157661
411.9679954,843.9340628
398.2985492,815.1395382
511.5341977,723.9793705
601.3158529,153.9355087
945.2595556,175.3458331
929.8886586,368.2845713
919.5449945,492.4760206
944.628139,246.30067
948.0406806,603.2775823
862.0957247,749.809611
885.4292187,723.150335
908.9073119,703.142623
925.9603798,687.583747
972.5791681,632.0480069
955.6706994,654.258447
942.965248,669.807683
636.9451005,592.8808984
684.7688822,592.774859
734.814672,594.8811876
786.9860703,594.7655083
834.9062515,599.0938449
874.083,601.2242734
558.0517665,763.7875355
608.0011568,761.4594881
655.8731383,763.5706367
699.445703,767.9086133
751.665301,770.0101219
795.0932665,767.6965344
665.2528076,595.0354268
710.9027811,594.9342074
763.1705789,599.252904
808.8205524,599.1516846
854.6151251,605.7020292
893.7436738,605.6152697
926.2543982,601.108594
965.4311467,603.2390225
586.3112739,763.7248759
540.6613004,763.8260953
634.2314552,768.0532125
677.6594206,765.739625
729.9272184,770.0583217
771.2777751,772.1839302
816.9277486,772.0827108
448.2479395,812.8114908
486.7980913,786.118475
462.3078035,759.5652383
306.5117848,892.9483781
85.13520027,609.625488
585.8340965,641.7747144
610.6617824,683.8482672
571.3886345,677.2834627
572.9888659,550.8941052
277.6883405,567.0699378
279.2837519,540.4588615
97.60447294,483.2120307
99.92770039,390.0804936
91.18908758,288.1043042
88.53810189,166.1589627
90.32149226,248.1949197
594.1485516,524.2396491
598.0189907,402.2798477
598.3612088,318.0218827
599.7156215,280.3248662
595.7102232,196.0765412
592.3169615,439.9865041
595.8403625,502.0629489
597.3923941,373.4564033
99.34930351,363.4742372
100.5060973,416.6867499
309.6399479,136.843881
440.3094423,147.6406227
309.5339085,331.9660674
429.4789608,349.438473
368.4773702,143.3653058
298.8142864,238.8634501
359.9170964,349.5927122
427.5027715,258.5337639
306.4009254,187.8488456
430.6935943,205.3116113
302.1930882,294.2883308
428.4667663,302.8775245
248.3587989,717.9110233
248.0744204,604.8296139
409.5098086,730.8574734
415.6986552,615.5444161
337.3933581,613.5007471
326.7604955,724.3890683
281.110522,724.4902878
287.3957681,613.6116065
244.8835976,658.0517665
330.0477177,675.6012918
410.4304237,673.2057647
394.6498289,347.2984046
329.2909818,340.7914397
335.8220466,141.2204174
407.6541187,145.4957343
372.5068685,728.7222249
376.6183063,617.8483636
222.6394177,134.819492
133.3204801,126.1483588
176.8930448,130.4863354
264.0381742,139.1622885
477.2641828,147.5586832
516.3927315,147.4719237
559.820697,145.1583361
801.4508122,160.1436352
868.9352677,164.4285921
903.8607992,171.0030366
838.5019521,164.4960717
629.5753603,153.8728491
657.9312672,158.2445655
690.4901914,155.9550778
723.0973153,155.8827782
755.7526389,158.0276667
684.441124,377.6979804
702.8534246,224.6638068
782.4552947,386.3498337
805.1670121,231.0888321
900.9109751,235.3111293
882.595074,392.779679
789.7045356,319.814913
885.4002988,321.8200222
732.3131055,379.809129
746.4259893,229.0017834
832.5492842,390.6733504
853.1353931,237.6343568
910.4111438,572.3188895
918.2869813,534.6074131
921.0440064,461.4305683
926.6014364,417.0723478
935.735287,337.229479
939.1671085,295.0932665
944.0497421,219.6944137
928.3896467,399.3300236
943.0327276,272.9117463
496.9393165,852.6148359
496.3127199,823.7913915
93.98949246,316.9229286
91.96510339,223.8010315
691.4493662,300.0771196
615.2552176,595.1462862
441.6252952,908.1698559
489.4008772,905.8466284
475.8278305,881.48648
